"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"284.65";"301.18";"283.23";"301.05";"13345313"
"2018-03-05";"302.85";"316.91";"297.60";"315.00";"18986099"
"2018-03-06";"319.88";"325.79";"316.50";"325.22";"18525844"
"2018-03-07";"320.00";"323.74";"314.55";"321.16";"17132222"
"2018-03-08";"322.20";"322.92";"314.13";"317.00";"11340066"
"2018-03-09";"321.33";"331.44";"320.23";"331.44";"14500219"
"2018-03-12";"333.56";"333.98";"318.60";"321.30";"20369152"
"2018-03-13";"323.87";"325.84";"313.28";"315.88";"12917224"
"2018-03-14";"318.16";"323.88";"317.70";"321.55";"10475073"
"2018-03-15";"323.17";"323.40";"318.14";"321.09";"5642883"
"2018-03-16";"321.42";"324.11";"318.37";"318.45";"7333734"
"2018-03-19";"315.80";"317.00";"307.34";"313.48";"9925162"
"2018-03-20";"313.26";"319.50";"312.80";"317.50";"5989345"
"2018-03-21";"316.35";"319.40";"314.51";"316.48";"5263911"
"2018-03-22";"313.07";"314.12";"305.66";"306.70";"8063305"
"2018-03-23";"307.41";"310.73";"300.36";"300.94";"9529948"
"2018-03-26";"309.36";"321.03";"302.00";"320.35";"11988274"
"2018-03-27";"322.49";"322.90";"297.00";"300.69";"12068632"
"2018-03-28";"298.39";"298.80";"281.61";"285.77";"18972912"
"2018-03-29";"287.00";"295.35";"275.90";"295.35";"19145522"
"2018-04-02";"291.94";"292.87";"275.05";"280.29";"13405760"
"2018-04-03";"285.45";"291.25";"278.01";"283.67";"12694862"
"2018-04-04";"273.63";"290.31";"271.22";"288.94";"12913978"
"2018-04-05";"293.15";"299.16";"289.11";"293.97";"10637178"
"2018-04-06";"289.10";"298.85";"285.65";"288.85";"11444777"
"2018-04-09";"291.77";"299.55";"289.12";"289.93";"9853514"
"2018-04-10";"297.68";"298.95";"291.69";"298.07";"10719097"
"2018-04-11";"302.88";"311.64";"301.82";"303.67";"14877429"
"2018-04-12";"309.72";"311.13";"306.75";"309.25";"10249403"
"2018-04-13";"317.29";"317.49";"308.23";"311.65";"12046573"
"2018-04-16";"315.99";"316.10";"304.00";"307.78";"20307921"
"2018-04-17";"329.66";"338.62";"323.77";"336.06";"33866456"
"2018-04-18";"336.30";"338.82";"331.10";"334.52";"11221139"
"2018-04-19";"332.88";"335.31";"326.77";"332.70";"8438825"
"2018-04-20";"332.22";"336.51";"326.00";"327.77";"9158655"
"2018-04-23";"329.15";"331.22";"317.08";"318.69";"8968015"
"2018-04-24";"319.22";"320.25";"302.31";"307.02";"13893217"
"2018-04-25";"306.37";"309.98";"292.62";"305.76";"14919698"
"2018-04-26";"310.00";"316.63";"305.58";"313.98";"9266699"
"2018-04-27";"316.25";"317.45";"306.50";"311.76";"7074384"
"2018-04-30";"311.07";"317.88";"310.12";"312.46";"6088787"
"2018-05-01";"310.36";"313.48";"306.69";"313.30";"6036639"
"2018-05-02";"311.65";"317.10";"310.40";"313.36";"5697120"
"2018-05-03";"312.59";"312.59";"305.73";"311.69";"6135828"
"2018-05-04";"308.71";"320.98";"307.67";"320.09";"8209513"
"2018-05-07";"321.99";"329.02";"319.34";"326.26";"7117823"
"2018-05-08";"325.90";"327.35";"323.05";"326.89";"4735738"
"2018-05-09";"328.79";"331.95";"327.51";"330.30";"5633444"
"2018-05-10";"331.50";"332.06";"327.34";"329.60";"5302254"
"2018-05-11";"329.65";"331.26";"324.87";"326.46";"4589731"
"2018-05-14";"327.25";"330.50";"327.04";"328.53";"4089800"
"2018-05-15";"325.94";"326.94";"322.43";"326.13";"4746096"
"2018-05-16";"326.28";"329.72";"325.14";"328.19";"3671690"
"2018-05-17";"327.53";"330.45";"323.17";"325.22";"4935708"
"2018-05-18";"324.90";"326.42";"322.80";"324.18";"3577717"
"2018-05-21";"327.11";"331.88";"325.45";"331.82";"6657326"
"2018-05-22";"334.05";"336.63";"331.15";"331.62";"5964448"
"2018-05-23";"329.04";"345.00";"328.09";"344.72";"10049147"
"2018-05-24";"344.34";"354.00";"341.12";"349.29";"14678553"
